Lead ID,Brand,Legal Name,INN,OGRN/OGRNIP,Region,Segment,Revenue/Scale,Signal Level,Signal Summary,Owner,CEO,LPR,LPR Role,Primary Phone,Primary Email,Telegram,VK,HH Contact,Contact Form,Other Contact,Contact Type,Contact Source,Number Of Contacts Found,Consulting Hypothesis,Final Quick Status,Added At,Updated At,Run ID,Campaign ID
N5K-0340,СоюзХимТранс-Авто,ООО «СОЮЗХИМТРАНС-АВТО»,7805564299,1117847392013,Санкт-Петербург,Транспортная логистика / B2B,"Действующее частное ООО; выручка 118,87 млн ₽ за 2025 год; 9 сотрудников по данным ФНС за 2025 год; международные и внутрироссийские грузоперевозки",S1,"В июне 2026 компания искала директора по продажам для построения системы продаж, масштабирования действующего отдела, внедрения KPI/грейдов и повышения конверсии и управляемости.","Селиверстова Ольга Владимировна 84,5%; Лернер Александр 12,5%; Баршай Артем Владимирович 3%",Баршай Артем Владимирович,Баршай Артем Владимирович,Генеральный директор / совладелец,+7 (812) 337-23-22,info@sktauto.ru,,,https://spb.hh.ru/employer/2054704,https://new.sktauto.ru/ru/contacts/question.html,,Corporate phone; Corporate email; Official contact form; Employer profile,Официальный сайт СоюзХимТранс-Авто; HH; Facancy,3,"Пересборка и масштабирование B2B-продаж: KPI и воронка, сегментация клиентской базы, коммерческие регламенты, конверсии и управляемость отдела продаж.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-21T19:00:00+05:00,2026-08-21T19:00:00+05:00,N5K-20260821-299,new_5000
N5K-0341,Well Fitness,ООО «ОПТИМА ИМПОРТ»,7734728519,1147746799727,Москва,Фитнес-оборудование / дистрибуция / B2B+B2C,"Действующее частное ООО; выручка 932,033 млн ₽ за 2025 год; 33 сотрудника за 2025 год; крупный импортёр и дистрибьютор фитнес-оборудования",S1,"В июне 2026 Well Fitness усиливал продажи и искал руководителя отдела продаж: рост выручки и валовой маржи, развитие дилерского и регионального каналов, корпоративных B2B-клиентов, CRM/pipeline, бюджетирование и масштабирование e-commerce.","Ротенберг Евгений Ефимович, 100%",Ротенберг Евгений Ефимович,Ротенберг Евгений Ефимович,Генеральный директор / собственник 100%,+7 (499) 677-56-32,info@wellfitness.ru,,,https://hh.ru/employer/2653568,,,Corporate phone; Corporate email; Employer profile,Official Well Fitness site / company records; HH; Careerist,3,"Масштабирование омниканальной коммерческой системы: дилерская сеть и B2B, CRM/pipeline, валовая маржа, KPI и бюджетирование, e-commerce и управление оборачиваемостью.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-21T19:00:00+05:00,2026-08-21T19:00:00+05:00,N5K-20260821-299,new_5000
N5K-0342,УралНет,ООО «УРАЛНЕТ»,6679021717,1126679024592,Свердловская область,Телеком / интернет-провайдер / B2B,"Действующее частное ООО; выручка 206,6 млн ₽ за 2025 год; 6 сотрудников по данным ФНС за 2025 год; собственная телеком-инфраструктура и лицензии связи",S1,"06.08.2026 УралНет открыл новое направление B2B-продаж для бизнеса за городом — склады, логистика, агро и гостиницы; вакансия допускает рост до руководителя направления и найм своей команды.","Маракин Артем Евгеньевич, 100%",Маракин Артем Евгеньевич,Маракин Артем Евгеньевич,Генеральный директор / собственник 100%,+7 (343) 311-99-97,info@inetvdom.ru,,,https://hh.ru/vacancy/135926497,,,Corporate phone; Corporate email; HH vacancy,Official/public UralNet channels; HeadHunter vacancy,3,"Запуск и масштабирование нового B2B-направления: сегментация отраслей, оффер и unit-экономика, outbound-воронка, CRM/KPI, найм команды и 90-дневный план продаж.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-21T20:00:00+05:00,2026-08-21T20:00:00+05:00,N5K-20260821-300,new_5000
N5K-0343,Селлерпро / Sellerpro,ООО «СЕЛЛЕРПРО»,0800008993,1230800003378,Москва,E-commerce / торговая компания / B2B,"Действующее частное ООО; выручка 49,069 млн ₽ за 2025 год; 11 сотрудников по данным ФНС за 2025 год; две зарегистрированные торговые марки",S1,05.08.2026 компания запускала новое B2B-направление продаж защитных и укрывных материалов и искала Head of B2B с задачей построить направление с нуля — от первых клиентов до масштабируемой системы.,"Конакова Татьяна Александровна, 100%",Конакова Татьяна Александровна,Конакова Татьяна Александровна,Генеральный директор / собственник 100%,,,,,https://hh.ru/vacancy/135935961,,,HH vacancy / employer route,HeadHunter vacancy; legal company profile,1,"Запуск B2B-направления с нуля: ICP и сегментация, outbound/partner sales, CRM-воронка, коммерческие KPI, unit-экономика и найм первой команды.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-21T20:00:00+05:00,2026-08-21T20:00:00+05:00,N5K-20260821-300,new_5000
N5K-0344,100UP / Интернет-студия 100АП,ООО «100АП»,7725778560,1127747278812,Москва,IT / digital / e-commerce development / B2B,Действующее частное ООО; около 448 млн ₽ выручки по актуальному профилю; 15 сотрудников по актуальным данным; 13 сертифицированных сотрудников у 1С-Битрикс; собственная команда разработки,S1,08.04.2026 100UP искал руководителя отдела продаж для создания и запуска нового направления продаж с нуля; компания развивает e-commerce решения и собственные SaaS/AI-продукты для бизнеса.,"Боровик Елена Александровна, 100% по актуальным ЕГРЮЛ-данным с 20.10.2025",Боровик Елена Александровна,Боровик Елена Александровна,Генеральный директор / собственник 100%,+7 (499) 650-50-15,hello@100up.ru,,,,https://www.100up.ru/contacts/,,Corporate phone; Corporate email; Website contact form,Official 100UP website; current legal/company sources; vacancy source,3,"Запуск нового B2B-sales направления для digital/e-commerce и собственных SaaS-продуктов: ICP, outbound/partner sales, CRM/KPI, продуктовая упаковка и 90-дневный запуск отдела продаж.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-21T21:00:00+05:00,2026-08-21T21:00:00+05:00,N5K-20260821-301,new_5000
N5K-0345,ZETTA / Фабрика кухни ZETTA,ООО «ЗЕТТА»,7719413465,1157746441643,Москва,Производство мебели / retail / B2C-B2B,"Действующее частное ООО; выручка 21,798 млн ₽ за 2025 год по актуальному профилю; собственные шоу-румы, производство, склады и автопарк; производственно-логистический комплекс 4,5 га; более 110 000 клиентов по официальному сайту",S1,28.01.2026 ZETTA искала коммерческого директора / директора по развитию продаж для нового направления и синхронизации коммерческой системы; вакансия требует опыта запуска и вывода нового направления на операционную прибыль.,"Любинский Константин Святославович, 100%",Любинский Константин Святославович,Любинский Константин Святославович,Генеральный директор / собственник 100%,+7 (495) 101-19-19,info@zetta.ru,,,,https://zetta.ru/contacts/,,Corporate phone; Corporate email; Website contact route,Official ZETTA website; current company/legal sources; vacancy source,3,"Коммерческая архитектура нового направления, unit economics и P&L, CRM/KPI, синхронизация retail/B2B каналов и 90-дневный план роста.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-21T22:00:00+05:00,2026-08-21T22:00:00+05:00,N5K-20260821-302,new_5000
N5K-0346,Dr. Zubareva / Бьюти Лайф,ООО «БЬЮТИ ЛАЙФ»,9715416959,1227700198505,Москва,FMCG / нутрицевтики / косметика / e-commerce,"Действующее частное ООО; выручка 2,170 млрд ₽ за 2025 год (+93%); 166 сотрудников по актуальному профилю; 28 торговых марок; бренд представлен в крупных маркетплейс-каналах",S1,"03.07.2026 компания искала коммерческого директора с ответственностью за прибыль, масштабирование текущих каналов продаж и выход на новые рынки.","Землянский Александр Витальевич, 100%",Землянский Александр Витальевич,Землянский Александр Витальевич,Генеральный директор / собственник 100%,+7 (800) 600-69-06,partner@doctorzubareva.ru,,,,https://doctorzubareva.store/company/,,Corporate phone; Partnership email; Official website,Official Dr. Zubareva store; current legal/company sources; vacancy source,3,"Коммерческая стратегия роста FMCG/e-commerce, прибыльность каналов, retail/marketplace/B2B portfolio, новые рынки, P&L и 90-дневный план масштабирования.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-21T22:00:00+05:00,2026-08-21T22:00:00+05:00,N5K-20260821-302,new_5000
N5K-0347,Рэмос-Альфа,ООО «РЭМОС-АЛЬФА»,7816162760,1027810259916,Ленинградская область,Производство упаковки / B2B / промышленность,"Действующее частное ООО; выручка 3,072 млрд ₽ за 2025 год; 216 сотрудников; производственная компания с собственным производством упаковки и проектами развития производственных мощностей",S1,17.08.2026 Рэмос-Альфа разместила вакансию Head of B2B Growth / руководителя B2B-маркетинга на фоне активного роста и развития новых коммерческих направлений; роль отвечает за развитие B2B-growth и коммерческой эффективности.,Шокина Надежда Алексеевна 34%; Чистокин Алексей Григорьевич 33%; Шокин Олег Павлович 33%,Чистокин Алексей Григорьевич,Чистокин Алексей Григорьевич,Директор / совладелец 33%,+7 (812) 336-60-73,office@remos.ru,,,,https://remos.ru/about/contacts/,,Corporate phone; Corporate email; Website contact form,Official Remos-Alfa website 2026,3,"B2B growth architecture, segmentation and channel economics, sales-marketing alignment, KPI/CRM and commercial scaling of new directions.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-21T23:18:00+05:00,2026-08-21T23:18:00+05:00,N5K-20260821-303,new_5000
N5K-0348,Селект / Селект Инжиниринг,ООО «СЕЛЕКТ»,1657251098,1181690106509,Республика Татарстан,Электротехника / промышленный B2B / инжиниринг,"Действующее частное ООО; выручка 1,719805 млрд ₽ за 2025 год; 20+ лет рыночной истории группы, 8 филиалов, 5000+ проектов по данным бренда",S1,"19.08.2026 Селект разместила вакансию руководителя отдела продаж B2B; группа заявляет активный рост и развитие новых коммерческих направлений, роль отвечает за развитие B2B-продаж промышленным клиентам.","Хасанов Артур Альбертович, 100%",Хасанов Артур Альбертович,Хасанов Артур Альбертович,Генеральный директор / собственник 100%,8 (800) 775-17-52,sale@selectprom.ru,,,,https://selectprom.ru/contacts/,,Corporate phone; Sales email; Website contact form,Official Select website 2026,3,"B2B sales scaling across industrial verticals and branches, pipeline/KPI architecture, key-account model and commercial governance for new directions.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-21T23:18:00+05:00,2026-08-21T23:18:00+05:00,N5K-20260821-303,new_5000
N5K-0349,Русгеосинт,ООО «РУСГЕОСИНТ»,5261103779,1165261050822,Нижегородская область,Геосинтетические материалы / промышленный B2B / строительство,"Действующее частное ООО; выручка 1,759696 млрд ₽ за 2025 год; 121 сотрудник по данным ФНС за 2025 год; производитель геосинтетических материалов с представительствами в нескольких регионах РФ",S1,"12.07.2026 Русгеосинт разместил вакансию руководителя отдела продаж B-to-B: компания сообщает рост команды в 1,5 раза за год и запуск нового завода в 2026 году; роль отвечает за стратегию продаж, конверсию, маржинальность, команду и ключевых клиентов. В августе 2026 также опубликована вакансия РОП с задачей построения, развития и масштабирования системы продаж в производственной B2B-компании.","Бутыгин Илья Александрович, 100%",Бутыгин Илья Александрович,Бутыгин Илья Александрович,Генеральный директор / собственник 100%,+7 (800) 500-40-87,info@geo-sin.ru,,,,https://geo-sin.ru/kontakty/,,Corporate phone; Corporate email; Website contact route,Official Русгеосинт website 2026,3,"B2B sales scaling across regions, commercial governance for new production capacity, channel economics, CRM/KPI and sales-team architecture.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T00:18:00+05:00,2026-08-22T00:18:00+05:00,N5K-20260822-304,new_5000
N5K-0350,Нордкомп / NordComp,ООО «НОРДКОМП»,1101020069,1021100529757,Республика Коми,Системная интеграция / радиоэлектроника / промышленный B2B,"Действующее частное ООО; выручка 209,9 млн ₽ за 2025 год; 57 сотрудников по актуальному профилю компании; системный интегратор и производственно-технологический B2B-бизнес",S1,"10.06.2026 Нордкомп искал коммерческого директора производственной компании для продаж продукции InSafe-CWS, IT и радиоэлектронного оборудования, построения каналов продаж и партнёрской сети, определения партнёрских условий и коммерческой эффективности.","Бешагин Сергей Витальевич, 100%",Бешагин Сергей Витальевич,Бешагин Сергей Витальевич,Директор / собственник 100%,+7 (8212) 310-310,info@nordcomp.ru,,,,https://www.nordcomp.ru/contacts/,,Corporate phone; Corporate email; Direct functional contacts; Website contact route,Official NordComp website 2026,3,"Commercial architecture for industrial/IT product sales, partner-channel design, distributor economics, KPI/CRM and scalable B2B sales governance.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T00:18:00+05:00,2026-08-22T00:18:00+05:00,N5K-20260822-304,new_5000
N5K-0351,UNIONDELTA / Проф-Тон Групп,ООО «ПРОФ-ТОН ГРУПП»,7453330306,1197456034302,Москва,Автомобильные и архитектурные плёнки / B2B дистрибуция,"Действующее частное ООО; выручка 114,076 млн ₽ за 2025 год; малое предприятие; международный B2B-бренд с дилерской сетью в России, СНГ, Ближнем Востоке и Азии",S1,"11.08.2026 UNIONDELTA / ООО «Проф-Тон Групп» разместило вакансию коммерческого директора: компания прямо сообщает, что находится в стадии масштабирования; собственник смещает фокус на международный бизнес, а новый CCO должен возглавить коммерческий блок РФ и в перспективе взять операционное управление торговой компанией.","Панихин Василий Евгеньевич, 100%",Панихин Василий Евгеньевич,Панихин Василий Евгеньевич,Генеральный директор / собственник 100%,+7 (495) 150-27-10,sales@uniondelta.ru,,,,https://www.uniondelta.ru/company/rekvizity/,,Corporate phone; Corporate email; Website contact route,Official UNIONDELTA website 2026,3,"Commercial governance for Russian B2B business during owner transition to international expansion; dealer-channel economics, sales-system scaling, P&L and operating model.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T01:00:00+05:00,2026-08-22T01:00:00+05:00,N5K-20260822-305,new_5000
N5K-0352,МедикорФарма-Урал,ООО «МЕДИКОРФАРМА-УРАЛ»,6674380335,1116674012212,Свердловская область,Медицинские изделия / ядерная медицина / B2B-B2G,"Действующее частное ООО; выручка 549,985 млн ₽ за 2025 год; 12 сотрудников; производитель медицинских изделий и поставщик решений для ядерной медицины по РФ и за рубеж",S1,"09.08.2026 ООО «МедикорФарма-Урал» усиливает коммерческую функцию и ищет Руководителя отдела продаж / Коммерческого директора; задача — возглавить и развивать продажи медицинских изделий компании, используемых медицинскими учреждениями.",Семенов Александр Павлович 50%; Бугаев Дмитрий Петрович 25%; Городницкий Константин Анатольевич 25%,Бугаев Дмитрий Петрович,Бугаев Дмитрий Петрович,Директор / совладелец 25%,+7 (343) 270-75-29,info@mphu.ru,,,,https://mphu.ru/,,Corporate phone; Corporate email; Official website route,Official/company cluster profile 2026,3,"Commercial-system strengthening for medical-device B2B/B2G sales, sales-team governance, channel and tender pipeline, CRM/KPI and scalable growth.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T01:00:00+05:00,2026-08-22T01:00:00+05:00,N5K-20260822-305,new_5000
N5K-0353,Дымов Керамика,ООО «ТД «ДЫМОВ КЕРАМИКА»,7731377855,1177746793432,Москва,Авторская керамика / HoReCa / B2B / retail / e-commerce,"Действующее частное ООО; выручка 197,1 млн ₽ за 2025 год; 15 сотрудников; бренд работает с 300+ ресторанами и развивает опт, HoReCa, розницу и e-commerce",S1,"14.08.2026 бренд разместил вакансию Коммерческого директора / Директора по продажам: требуется взять коммерческий результат и вывести бизнес на следующий этап роста по нескольким каналам — розница, e-commerce, маркетплейсы, опт и корпоративные проекты.","Зеленская Евгения Александровна, 100%",Зеленская Евгения Александровна,Зеленская Евгения Александровна,Генеральный директор / собственник 100%,+7 (495) 500-01-71,opt@dymovceramic.ru,,,,https://dymovceramic.ru/contacts/,,Corporate phone; Wholesale email; Official website route,Official Dymov Ceramic website 2026,3,"Omnichannel commercial-system scaling across HoReCa, wholesale, retail, e-commerce and corporate projects; channel economics, sales governance and P&L.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T02:02:00+05:00,2026-08-22T02:02:00+05:00,N5K-20260822-306,new_5000
N5K-0354,Атлант Трейлерс,ООО «АТЛАНТ ТРЕЙЛЕРС»,2543032249,1132543016407,Приморский край,Полуприцепы / коммерческий транспорт / промышленный B2B,"Действующее частное ООО; выручка 264,449 млн ₽ за 2025 год; 18+ лет на рынке по брендовому описанию; поставщик и производитель полуприцепов для B2B",S1,"В августе 2026 Атлант Трейлерс ищет Руководителя отдела продаж B2B: компания прямо сообщает об активном развитии стратегического направления и ищет руководителя, который будет развивать продажи федерального масштаба.",Тарасевич Олег Владимирович 50%; Кондратюк Максим Владимирович 50%,Кондратюк Максим Владимирович,Кондратюк Максим Владимирович,Генеральный директор / совладелец 50%,+7 (423) 230-02-56,parts@atlant-trailers.ru,,,,http://atlant-trailers.ru,,Corporate phone; Corporate email; Website route,Current Vladivostok company directory / company website route,3,"B2B sales-system scaling for commercial transport and trailers; regional/federal channel development, CRM/KPI, sales-team governance and commercial economics.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T02:02:00+05:00,2026-08-22T02:02:00+05:00,N5K-20260822-306,new_5000
N5K-0355,IBMM Technology,ООО «ИБММ ТЕХНОЛОГИИ»,5032334982,1215000115230,Московская область,Промышленный майнинг / IT-оборудование / B2B,"Действующее частное ООО; выручка около 2,90 млрд ₽ за 2025 год; 39 сотрудников по актуальным данным за 2025 год; B2B-поставки оборудования и инфраструктурные услуги",S1,"15.06.2026 IBMM искал Руководителя отдела продаж B2B / Head of Sales: рост ключевых коммерческих показателей, управление многоуровневой sales-командой, конверсией воронки и стратегическими B2B-сделками.","Гузенко Дмитрий Владиславович, 100%",Гузенко Дмитрий Владиславович,Гузенко Дмитрий Владиславович,Генеральный директор / собственник 100%,+7 (495) 136-28-92,sales@ibmm.ru,,,,https://ibmm.ru/contact/,,Corporate phone; Sales email; Official website route,Official IBMM website 2026,3,"B2B sales-system scaling for high-ticket infrastructure solutions: pipeline/conversion governance, hunter-farmer model, key-account sales, margin discipline and commercial operating model.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T03:05:00+05:00,2026-08-22T03:05:00+05:00,N5K-20260822-307,new_5000
N5K-0356,Рива Групп / Riva Group,ООО «РИВА ГРУПП»,9715417198,1227700208603,Москва,Управленческий консалтинг / B2B,"Действующее частное ООО; выручка 19,849 млн ₽ за 2025 год; B2B-консалтинговая практика по развитию и управлению бизнесом",S1,"В июне 2026 Рива Групп искала Директора по развитию и продажам консалтинговых услуг: развитие коммерческого направления, привлечение клиентов и рост продаж консалтинговых проектов.","Шагинян Даниил Игоревич, 100%",Шагинян Даниил Игоревич,Шагинян Даниил Игоревич,Генеральный директор / собственник 100%,+7 (495) 748-88-96,clients@rivagroup.su,,,,https://rivagroup.su/contacts/,,Corporate phone; Client email; Official website route,Official Riva Group website 2026,3,"Scaling professional-services sales: service packaging, ICP segmentation, owner-led sales transition, pipeline/KPI architecture, partner channels and predictable project revenue.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T03:05:00+05:00,2026-08-22T03:05:00+05:00,N5K-20260822-307,new_5000
N5K-0357,Universum Project,ООО «УНИВЕРСУМ ПРОДЖЕКТ»,7701885298,1107746598013,Москва,Управление строительными проектами / проектирование / B2B,"Действующее частное ООО; актуальная публичная финансовая выборка показывает около 12,6 млн ₽; 9 сотрудников по текущему профилю; управление проектированием и строительством для корпоративных заказчиков",S1,"16.08.2026 Universum Project искал Директора по продажам и развитию бизнеса: поиск проектов и клиентов, формирование маркетинговой политики и развитие нового бизнеса в проектном B2B.",Рыжков Борис Алексеевич 50%; Рыжков Вячеслав Борисович 50%,Рыжков Борис Алексеевич,Рыжков Вячеслав Борисович,Совладелец 50% / управляющий партнёр,+7 (495) 800-36-60,info@up-rf.com,,,,https://up-rf.com/contacts/,,Corporate phone; Corporate email; Direct managing-partner public route; Official website,Official Universum Project website and current industry profile 2026,4,"B2B business-development system for project-management and construction services: target-account strategy, partner/referral channels, pipeline governance, offer architecture and owner-led sales transition.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T03:05:00+05:00,2026-08-22T03:05:00+05:00,N5K-20260822-307,new_5000
N5K-0358,Таливенда / Talivenda,ООО «ТАЛИВЕНДА»,1215224210,1181215003364,Республика Марий Эл,Производство изделий из берёзы / HoReCa / FMCG / B2B,"Выручка 223,12 млн ₽ за 2025 год; 97 сотрудников за 2025 год; действующее производственное ООО",S1,"03.08.2026 Таливенда открыла вакансию коммерческого директора производственной B2B-компании с прямым подчинением собственнику и ответственностью за продажи, прибыль, бюджет и бизнес-процессы.",Зоткин Владимир Анатольевич 90%; Житаренко Ольга Петровна 10%,Ефремов Алексей Иванович,Зоткин Владимир Анатольевич,Собственник 90% / стратегический ЛПР,+7 800 6000 444,sales@talivenda.com,,,,https://talivenda.ru/,,Corporate phone; Sales email; Official website route,Official Talivenda website 2026,3,"B2B commercial-system scaling for manufacturing: margin/client portfolio discipline, sales operating model, export/HoReCa channels, CRM/KPI and owner-to-CCO transition.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T04:18:00+05:00,2026-08-22T04:18:00+05:00,N5K-20260822-308,new_5000
N5K-0359,Архитектурная студия Б в кубе / B³,ООО «АРХИТЕКТУРНАЯ СТУДИЯ «Б В КУБЕ»,2311285507,1192375018494,Краснодарский край,Архитектурное проектирование / девелопмент / B2B,"Выручка 64,4 млн ₽ за 2025 год; 42 сотрудника по данным ФНС за 2025 год; официальный сайт заявляет команду 60 специалистов и 900 тыс.+ м² спроектированных объектов",S1,"24.06.2026 студия искала коммерческого директора / Business Development лидера для самостоятельного выхода на ЛПР, длинных B2B-сделок, тендеров, CRM и развития клиентов в Краснодаре, ЮФО, Москве и Санкт-Петербурге.","Базилевская Ольга Михайловна, 100%",Яхомов Алексей Александрович,Яхомов Алексей Александрович,Директор / практический ЛПР,+7 (918) 650-33-99,info@b3studio.ru,,,,https://b3studio.ru/contact,,Corporate phone; Corporate email; Official website route,Official B³ website 2026,3,"Build predictable project-B2B growth: target-account map of developers and technical customers, outbound cadence, tender funnel, CRM/KPI, long-cycle deal governance and commercial offer architecture.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T04:18:00+05:00,2026-08-22T04:18:00+05:00,N5K-20260822-308,new_5000
N5K-0360,ПКФ Метинвест-Сервис / ПКФ Модуль,ООО «ПКФ «МЕТИНВЕСТ-СЕРВИС»,7721452768,1167746166081,Москва,Металлопрокат / металлообработка / B2B,"Выручка 1,971 млрд ₽ за 2025 год; 30 сотрудников за 2025 год; частное производственно-коммерческое ООО",S2,В актуальных вакансиях 2026 компания прямо фиксирует стратегические цели масштабирования за счёт увеличения количества офисов продаж и развития розничной сети; B2B-продажи и расширение каналов являются текущим приоритетом.,Гагуа Давид Мерабович 40%; Алагузова Екатерина Валерьевна 30%; Ларкин Александр Александрович 30%,Гагуа Давид Мерабович,Гагуа Давид Мерабович,Генеральный директор / крупнейший совладелец 40%,+7 (499) 372-01-20,sale@pkf-modul.ru,,,,https://pkf-modul.ru/requisites/,,Corporate phone; Sales email; Official website route,Official company website 2026,3,"Commercial scaling for metal B2B: office/channel expansion economics, sales segmentation, key-account model, CRM/pipeline governance, margin discipline and branch sales playbook.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T04:18:00+05:00,2026-08-22T04:18:00+05:00,N5K-20260822-308,new_5000
N5K-0361,Petro Building Systems / PBS,ООО «ПЕТРО БИЛДИНГ СИСТЕМС»,7810788449,1207800018590,Санкт-Петербург,Промышленное оборудование для ЖБИ / машиностроение / B2B,"Выручка 451,761 млн ₽ за 2025 год; 15 сотрудников по актуальному профилю; две производственные площадки общей площадью 5000 м²; 200+ реализованных проектов по данным работодателя",S1,"03.08.2026 / август 2026 компания ищет руководителя отдела продаж из-за динамичного развития с задачей организовать команду менеджеров, выстроить систему B2B-продаж и CRM; официальный сайт одновременно показывает активное производство и продажи оборудования.",Вешняков Сергей Михайлович 50%; Мошкин Владимир Владимирович 25%; Пчелинцев Андрей Викторович 25%,Мошкин Владимир Владимирович,Мошкин Владимир Владимирович,Генеральный директор / совладелец 25% / стратегический ЛПР,+7 (812) 747-86-21,zakaz@pbsspb.com,,,https://dreamjob.ru/employers/300408/vakansii/136402798,https://pbsspb.com/contacts/,,Corporate phone; Sales email; Official contact form; Job-board employer route,Official PBS website 2026; current August 2026 vacancy,4,"B2B sales-system scaling for industrial equipment: sales-team operating model, CRM/pipeline discipline, account segmentation, margin governance, export/regional channel playbook and owner-to-sales-lead transition.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T05:18:00+05:00,2026-08-22T05:18:00+05:00,N5K-20260822-309,new_5000
N5K-0362,НПП Авиатрон / Aviatron,ООО «НПП «АВИАТРОН»,0278101474,1040204597619,Республика Башкортостан,АСУ ТП / промышленная автоматизация / нефтегаз / B2B,"Выручка 2,9 млрд ₽ за 2025 год; 274 сотрудника по данным ФНС за 2025 год; среднее предприятие; собственная производственная линия и сборочный цех",S1,"23.07-01.08.2026 компания публиковала вакансию коммерческого директора в сфере АСУ ТП с задачами разработки коммерческой и маркетинговой стратегии, расширения клиентской базы, каналов и географии продаж и ведения ключевых переговоров.",Орлова Татьяна Геннадьевна; Тер-Осипов Павел Константинович; Бикбулатов Юрий Владиславович,Бикбулатов Юрий Владиславович,Бикбулатов Юрий Владиславович,Генеральный директор / совладелец / практический ЛПР,+7 (347) 216-38-26,mail@aviatron-ufa.ru,,,https://www.najtiraboty.ru/companies/npp-aviatron/,https://aviatron-ufa.ru/,,Corporate phone; Corporate email; Official website; Current job-board employer route,Official Aviatron website; Neftegaz-2026 official catalogue; current 2026 vacancy,4,"Industrial B2B commercial scaling: client/vertical segmentation, channel and geography expansion, key-account governance, commercial-marketing operating model, CRM/pipeline discipline and margin-based growth for complex automation projects.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T05:18:00+05:00,2026-08-22T05:18:00+05:00,N5K-20260822-309,new_5000
N5K-0363,ИНТУРАЭРО / IntourAero,ООО «ИНТУРАЭРО»,7714272098,1027700262215,Москва,Корпоративный travel / business travel / B2B,"Выручка около 209-227 млн ₽ за 2025 год по актуальным профилям; 25-33 сотрудника по текущим источникам; официальный сайт заявляет 30+ лет, 1000+ корпоративных клиентов и 100+ специалистов/тревел-менеджеров",S1,"В июне-августе 2026 компания публиковала вакансию директора/руководителя продаж корпоративного travel-направления, что подтверждает усиление и систематизацию B2B-коммерческой функции.",Смирнова Ольга Эдуардовна,Кожемякин Александр Владимирович,Кожемякин Александр Владимирович,Генеральный директор / практический ЛПР,+7 (495) 994-24-44,sales@intouraero.ru,,,https://h.careers/vacancy/ru/director-of-sales-intouraero/,https://intouraero.ru/,,Corporate phone; Sales email; Official website; Current job-board route,Official company website 2026; current vacancy; current legal/company profiles,4,"B2B sales-system scaling for corporate travel: enterprise segmentation, pipeline discipline, key-account governance, cross-sell of digital products/API, margin control and sales-management operating model.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T05:58:35+05:00,2026-08-22T05:58:35+05:00,N5K-20260822-310,new_5000
N5K-0364,Торговый дом ТАВР Неруд / TAVR Nerud,ООО ТД «ТАВР НЕРУД»,5402038606,1175476123415,Новосибирская область,Нерудные материалы / поставки / B2B,23 сотрудника за 2025 год по актуальному профилю; действующий поставщик нерудных материалов с собственной коммерческой и логистической функцией,S1,"Текущая вакансия руководителя отдела продаж в 2026 году описывает два отдела продаж, необходимость найма и развития команды, улучшение системы продаж и возможность запуска продаж в новом торговом направлении.",Столков Артем Юрьевич,Столков Артем Юрьевич,Столков Артем Юрьевич,Собственник 100% / генеральный директор,8 (800) 775-22-74,logist@tavrnerud.ru,,,https://dreamjob.ru/employers/329063/vakansii/,https://tavrnerud.com/,,Corporate phone; Corporate email; Official website; Current vacancy route,Official company website; current 2026 vacancy; current legal profile,4,"B2B commercial scaling for construction materials: sales-team structure, regional/client segmentation, CRM/pipeline, margin and logistics economics, KPI and new-direction launch playbook.",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-22T05:58:35+05:00,2026-08-22T05:58:35+05:00,N5K-20260822-310,new_5000
